"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Тесты на вебе","Тесты на сайте IDEA","","1","0","0","0","0"
"","Тесты на сайте IDEA","","0","0","1","0","0"
