"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Mar 05 11:01:21 YEKT 2025","Wed Mar 05 11:01:25 YEKT 2025","3148","","UI.JAVATest","","UI.JAVATest","NigativeTest","Тест для проверки Cherry-Pick",""
"passed","Wed Jul 09 16:40:56 YEKT 2025","Wed Jul 09 16:41:01 YEKT 2025","4937","","UI.JAVATest","","UI.JAVATest","ApiTests","Rest в Java",""
